

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(75) TOF(2.18134 usec) Mass(6.77844 amu) Charge(-1 e) 

Ion(76) TOF(1.57879 usec) Mass(3.57692 amu) Charge(-1 e) 

Ion(77) TOF(1.32347 usec) Mass(2.45106 amu) Charge(-1 e) 

Ion(78) TOF(1.57944 usec) Mass(3.44591 amu) Charge(-1 e) 

Ion(79) TOF(1.68205 usec) Mass(4.1691 amu) Charge(-1 e) 

Ion(80) TOF(2.60122 usec) Mass(9.98407 amu) Charge(-1 e) 

Ion(81) TOF(1.23303 usec) Mass(2.18299 amu) Charge(-1 e) 

Ion(82) TOF(1.50978 usec) Mass(3.3863 amu) Charge(-1 e) 

Ion(83) TOF(2.40996 usec) Mass(8.84695 amu) Charge(-1 e) 

Ion(84) TOF(2.50753 usec) Mass(8.86508 amu) Charge(-1 e) 

Ion(85) TOF(2.2571 usec) Mass(7.41511 amu) Charge(-1 e) 

Ion(86) TOF(2.52919 usec) Mass(9.2139 amu) Charge(-1 e) 

Ion(87) TOF(2.25669 usec) Mass(7.47609 amu) Charge(-1 e) 

Ion(88) TOF(2.09712 usec) Mass(6.51695 amu) Charge(-1 e) 

Ion(89) TOF(2.06862 usec) Mass(6.17527 amu) Charge(-1 e) 

Ion(90) TOF(2.33461 usec) Mass(7.89605 amu) Charge(-1 e) 

Ion(91) TOF(1.99411 usec) Mass(5.84265 amu) Charge(-1 e) 

Ion(92) TOF(1.77746 usec) Mass(4.72832 amu) Charge(-1 e) 

Ion(93) TOF(1.49671 usec) Mass(3.12729 amu) Charge(-1 e) 

Ion(94) TOF(1.93711 usec) Mass(5.47569 amu) Charge(-1 e) 

Ion(95) TOF(1.07189 usec) Mass(1.62459 amu) Charge(-1 e) 

Ion(96) TOF(2.49453 usec) Mass(8.8648 amu) Charge(-1 e) 

Ion(97) TOF(2.20218 usec) Mass(7.24262 amu) Charge(-1 e) 

Ion(98) TOF(2.11036 usec) Mass(6.42 amu) Charge(-1 e) 

Ion(99) TOF(1.99624 usec) Mass(5.8388 amu) Charge(-1 e) 

Ion(100) TOF(1.22574 usec) Mass(2.19178 amu) Charge(-1 e) 

Ion(101) TOF(0.972151 usec) Mass(1.31422 amu) Charge(-1 e) 

Ion(102) TOF(1.93156 usec) Mass(5.64461 amu) Charge(-1 e) 

Ion(103) TOF(2.54776 usec) Mass(9.24577 amu) Charge(-1 e) 

Ion(104) TOF(2.55267 usec) Mass(9.15128 amu) Charge(-1 e) 

Ion(105) TOF(1.83789 usec) Mass(4.94504 amu) Charge(-1 e) 

Ion(106) TOF(2.1331 usec) Mass(6.54772 amu) Charge(-1 e) 

Ion(107) TOF(1.91876 usec) Mass(5.46471 amu) Charge(-1 e) 

Ion(108) TOF(1.99098 usec) Mass(5.71273 amu) Charge(-1 e) 

Ion(109) TOF(2.29862 usec) Mass(7.49779 amu) Charge(-1 e) 

Ion(110) TOF(1.46567 usec) Mass(3.12125 amu) Charge(-1 e) 

Ion(111) TOF(2.52625 usec) Mass(9.03427 amu) Charge(-1 e) 

Ion(112) TOF(1.74422 usec) Mass(4.38334 amu) Charge(-1 e) 

Ion(113) TOF(1.80122 usec) Mass(4.71157 amu) Charge(-1 e) 

Ion(114) TOF(2.20916 usec) Mass(7.2179 amu) Charge(-1 e) 

Ion(115) TOF(1.51989 usec) Mass(3.19514 amu) Charge(-1 e) 

Ion(116) TOF(1.03582 usec) Mass(1.43123 amu) Charge(-1 e) 

Ion(117) TOF(1.9971 usec) Mass(6.04343 amu) Charge(-1 e) 

Ion(118) TOF(2.2594 usec) Mass(7.61946 amu) Charge(-1 e) 

Ion(119) TOF(0.873359 usec) Mass(1.02197 amu) Charge(-1 e) 

Ion(120) TOF(1.98544 usec) Mass(5.93027 amu) Charge(-1 e) 

Ion(121) TOF(1.88493 usec) Mass(5.21393 amu) Charge(-1 e) 

Ion(122) TOF(1.50095 usec) Mass(3.35472 amu) Charge(-1 e) 

Ion(123) TOF(2.24993 usec) Mass(7.56755 amu) Charge(-1 e) 

Ion(124) TOF(1.292 usec) Mass(2.26978 amu) Charge(-1 e) 

Ion(125) TOF(1.56199 usec) Mass(3.58763 amu) Charge(-1 e) 

Ion(126) TOF(1.3137 usec) Mass(2.39366 amu) Charge(-1 e) 

Ion(127) TOF(1.20422 usec) Mass(2.08356 amu) Charge(-1 e) 

Ion(128) TOF(2.3014 usec) Mass(7.72384 amu) Charge(-1 e) 
