

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(81) TOF(2.3767 usec) Mass(16 amu) Charge(-1 e) 

Ion(82) TOF(2.68535 usec) Mass(16 amu) Charge(-1 e) 

Ion(83) TOF(2.39454 usec) Mass(16 amu) Charge(-1 e) 

Ion(84) TOF(2.41243 usec) Mass(16 amu) Charge(-1 e) 

Ion(85) TOF(2.43278 usec) Mass(16 amu) Charge(-1 e) 

Ion(86) TOF(2.42218 usec) Mass(16 amu) Charge(-1 e) 

Ion(87) TOF(2.36328 usec) Mass(16 amu) Charge(-1 e) 

Ion(88) TOF(2.34252 usec) Mass(16 amu) Charge(-1 e) 

Ion(89) TOF(2.30926 usec) Mass(16 amu) Charge(-1 e) 

Ion(90) TOF(2.5259 usec) Mass(16 amu) Charge(-1 e) 

Ion(91) TOF(2.27711 usec) Mass(16 amu) Charge(-1 e) 

Ion(92) TOF(2.15451 usec) Mass(16 amu) Charge(-1 e) 

Ion(93) TOF(2.2359 usec) Mass(16 amu) Charge(-1 e) 

Ion(94) TOF(2.26257 usec) Mass(16 amu) Charge(-1 e) 

Ion(95) TOF(2.33256 usec) Mass(16 amu) Charge(-1 e) 

Ion(96) TOF(2.42817 usec) Mass(16 amu) Charge(-1 e) 

Ion(97) TOF(2.46594 usec) Mass(16 amu) Charge(-1 e) 

Ion(98) TOF(2.40672 usec) Mass(16 amu) Charge(-1 e) 

Ion(99) TOF(2.5332 usec) Mass(16 amu) Charge(-1 e) 

Ion(100) TOF(2.29104 usec) Mass(16 amu) Charge(-1 e) 

Ion(101) TOF(2.22498 usec) Mass(16 amu) Charge(-1 e) 

Ion(102) TOF(2.22022 usec) Mass(16 amu) Charge(-1 e) 

Ion(103) TOF(2.547 usec) Mass(16 amu) Charge(-1 e) 

Ion(104) TOF(2.51482 usec) Mass(16 amu) Charge(-1 e) 

Ion(105) TOF(2.24447 usec) Mass(16 amu) Charge(-1 e) 

Ion(106) TOF(2.37006 usec) Mass(16 amu) Charge(-1 e) 

Ion(107) TOF(2.31953 usec) Mass(16 amu) Charge(-1 e) 

Ion(108) TOF(2.33827 usec) Mass(16 amu) Charge(-1 e) 

Ion(109) TOF(2.34588 usec) Mass(16 amu) Charge(-1 e) 

Ion(110) TOF(2.66708 usec) Mass(16 amu) Charge(-1 e) 

Ion(111) TOF(2.29475 usec) Mass(16 amu) Charge(-1 e) 

Ion(112) TOF(2.48027 usec) Mass(16 amu) Charge(-1 e) 

Ion(113) TOF(2.72778 usec) Mass(16 amu) Charge(-1 e) 

Ion(114) TOF(2.31557 usec) Mass(16 amu) Charge(-1 e) 

Ion(115) TOF(2.21077 usec) Mass(16 amu) Charge(-1 e) 

Ion(116) TOF(2.32689 usec) Mass(16 amu) Charge(-1 e) 

Ion(117) TOF(2.47376 usec) Mass(16 amu) Charge(-1 e) 

Ion(118) TOF(2.23985 usec) Mass(16 amu) Charge(-1 e) 

Ion(119) TOF(2.38997 usec) Mass(16 amu) Charge(-1 e) 

Ion(120) TOF(2.34567 usec) Mass(16 amu) Charge(-1 e) 

Ion(121) TOF(2.33086 usec) Mass(16 amu) Charge(-1 e) 

Ion(122) TOF(2.46067 usec) Mass(16 amu) Charge(-1 e) 

Ion(123) TOF(2.21393 usec) Mass(16 amu) Charge(-1 e) 

Ion(124) TOF(2.56713 usec) Mass(16 amu) Charge(-1 e) 

Ion(125) TOF(2.70779 usec) Mass(16 amu) Charge(-1 e) 

Ion(126) TOF(2.53164 usec) Mass(16 amu) Charge(-1 e) 

Ion(127) TOF(2.41968 usec) Mass(16 amu) Charge(-1 e) 

Ion(128) TOF(2.43178 usec) Mass(16 amu) Charge(-1 e) 

Ion(129) TOF(2.73171 usec) Mass(16 amu) Charge(-1 e) 

Ion(130) TOF(2.49679 usec) Mass(16 amu) Charge(-1 e) 

Ion(131) TOF(2.58428 usec) Mass(16 amu) Charge(-1 e) 

Ion(132) TOF(2.29162 usec) Mass(16 amu) Charge(-1 e) 

Ion(133) TOF(2.26914 usec) Mass(16 amu) Charge(-1 e) 

Ion(134) TOF(2.61374 usec) Mass(16 amu) Charge(-1 e) 

Ion(135) TOF(2.3314 usec) Mass(16 amu) Charge(-1 e) 

Ion(136) TOF(2.5651 usec) Mass(16 amu) Charge(-1 e) 

Ion(137) TOF(2.48209 usec) Mass(16 amu) Charge(-1 e) 

Ion(138) TOF(2.14857 usec) Mass(16 amu) Charge(-1 e) 

Ion(139) TOF(2.67911 usec) Mass(16 amu) Charge(-1 e) 

Ion(140) TOF(2.27024 usec) Mass(16 amu) Charge(-1 e) 

Ion(141) TOF(2.32211 usec) Mass(16 amu) Charge(-1 e) 

Ion(142) TOF(2.32108 usec) Mass(16 amu) Charge(-1 e) 

Ion(143) TOF(2.22064 usec) Mass(16 amu) Charge(-1 e) 

Ion(144) TOF(2.44205 usec) Mass(16 amu) Charge(-1 e) 

Ion(145) TOF(2.48214 usec) Mass(16 amu) Charge(-1 e) 

Ion(146) TOF(2.40535 usec) Mass(16 amu) Charge(-1 e) 

Ion(147) TOF(2.45195 usec) Mass(16 amu) Charge(-1 e) 

Ion(148) TOF(2.45584 usec) Mass(16 amu) Charge(-1 e) 

Ion(149) TOF(2.5792 usec) Mass(16 amu) Charge(-1 e) 

Ion(150) TOF(2.52411 usec) Mass(16 amu) Charge(-1 e) 

Ion(151) TOF(2.33138 usec) Mass(16 amu) Charge(-1 e) 

Ion(152) TOF(2.27716 usec) Mass(16 amu) Charge(-1 e) 

Ion(153) TOF(2.30659 usec) Mass(16 amu) Charge(-1 e) 

Ion(154) TOF(2.34674 usec) Mass(16 amu) Charge(-1 e) 

Ion(155) TOF(2.25154 usec) Mass(16 amu) Charge(-1 e) 

Ion(156) TOF(2.16824 usec) Mass(16 amu) Charge(-1 e) 

Ion(157) TOF(2.72834 usec) Mass(16 amu) Charge(-1 e) 

Ion(158) TOF(2.16975 usec) Mass(16 amu) Charge(-1 e) 

Ion(159) TOF(2.71152 usec) Mass(16 amu) Charge(-1 e) 

Ion(160) TOF(2.19646 usec) Mass(16 amu) Charge(-1 e) 

Ion(161) TOF(2.3938 usec) Mass(16 amu) Charge(-1 e) 

Ion(162) TOF(2.34574 usec) Mass(16 amu) Charge(-1 e) 

Ion(163) TOF(2.5733 usec) Mass(16 amu) Charge(-1 e) 

Ion(164) TOF(2.43 usec) Mass(16 amu) Charge(-1 e) 

Ion(165) TOF(2.64983 usec) Mass(16 amu) Charge(-1 e) 

Ion(166) TOF(2.2377 usec) Mass(16 amu) Charge(-1 e) 

Ion(167) TOF(2.33319 usec) Mass(16 amu) Charge(-1 e) 

Ion(168) TOF(2.27784 usec) Mass(16 amu) Charge(-1 e) 

Ion(169) TOF(2.38546 usec) Mass(16 amu) Charge(-1 e) 

Ion(170) TOF(2.31146 usec) Mass(16 amu) Charge(-1 e) 

Ion(171) TOF(2.20827 usec) Mass(16 amu) Charge(-1 e) 

Ion(172) TOF(2.31949 usec) Mass(16 amu) Charge(-1 e) 

Ion(173) TOF(2.46647 usec) Mass(16 amu) Charge(-1 e) 

Ion(174) TOF(2.35646 usec) Mass(16 amu) Charge(-1 e) 

Ion(175) TOF(2.35785 usec) Mass(16 amu) Charge(-1 e) 

Ion(176) TOF(2.30701 usec) Mass(16 amu) Charge(-1 e) 

Ion(177) TOF(2.1479 usec) Mass(16 amu) Charge(-1 e) 

Ion(178) TOF(2.3165 usec) Mass(16 amu) Charge(-1 e) 

Ion(179) TOF(2.53892 usec) Mass(16 amu) Charge(-1 e) 

Ion(180) TOF(2.19774 usec) Mass(16 amu) Charge(-1 e) 

Ion(181) TOF(2.44923 usec) Mass(16 amu) Charge(-1 e) 

Ion(182) TOF(2.64034 usec) Mass(16 amu) Charge(-1 e) 

Ion(183) TOF(2.236 usec) Mass(16 amu) Charge(-1 e) 

Ion(184) TOF(2.19993 usec) Mass(16 amu) Charge(-1 e) 

Ion(185) TOF(2.28736 usec) Mass(16 amu) Charge(-1 e) 

Ion(186) TOF(2.22483 usec) Mass(16 amu) Charge(-1 e) 

Ion(187) TOF(2.22515 usec) Mass(16 amu) Charge(-1 e) 

Ion(188) TOF(2.52657 usec) Mass(16 amu) Charge(-1 e) 

Ion(189) TOF(2.28731 usec) Mass(16 amu) Charge(-1 e) 

Ion(190) TOF(2.53371 usec) Mass(16 amu) Charge(-1 e) 

Ion(191) TOF(2.49303 usec) Mass(16 amu) Charge(-1 e) 

Ion(192) TOF(2.32089 usec) Mass(16 amu) Charge(-1 e) 

Ion(193) TOF(2.15015 usec) Mass(16 amu) Charge(-1 e) 

Ion(194) TOF(2.50287 usec) Mass(16 amu) Charge(-1 e) 

Ion(195) TOF(2.54886 usec) Mass(16 amu) Charge(-1 e) 

Ion(196) TOF(2.37563 usec) Mass(16 amu) Charge(-1 e) 

Ion(197) TOF(2.26153 usec) Mass(16 amu) Charge(-1 e) 

Ion(198) TOF(2.45783 usec) Mass(16 amu) Charge(-1 e) 

Ion(199) TOF(2.37145 usec) Mass(16 amu) Charge(-1 e) 

Ion(200) TOF(2.51806 usec) Mass(16 amu) Charge(-1 e) 

Ion(201) TOF(2.26979 usec) Mass(16 amu) Charge(-1 e) 

Ion(202) TOF(2.37975 usec) Mass(16 amu) Charge(-1 e) 

Ion(203) TOF(2.78929 usec) Mass(16 amu) Charge(-1 e) 

Ion(204) TOF(2.37118 usec) Mass(16 amu) Charge(-1 e) 

Ion(205) TOF(2.43406 usec) Mass(16 amu) Charge(-1 e) 

Ion(206) TOF(2.14997 usec) Mass(16 amu) Charge(-1 e) 

Ion(207) TOF(2.41651 usec) Mass(16 amu) Charge(-1 e) 

Ion(208) TOF(2.5696 usec) Mass(16 amu) Charge(-1 e) 

Ion(209) TOF(2.62133 usec) Mass(16 amu) Charge(-1 e) 

Ion(210) TOF(2.3641 usec) Mass(16 amu) Charge(-1 e) 

Ion(211) TOF(2.49664 usec) Mass(16 amu) Charge(-1 e) 

Ion(212) TOF(2.25883 usec) Mass(16 amu) Charge(-1 e) 

Ion(213) TOF(2.37325 usec) Mass(16 amu) Charge(-1 e) 

Ion(214) TOF(2.74258 usec) Mass(16 amu) Charge(-1 e) 

Ion(215) TOF(2.3849 usec) Mass(16 amu) Charge(-1 e) 

Ion(216) TOF(2.54922 usec) Mass(16 amu) Charge(-1 e) 

Ion(217) TOF(2.35518 usec) Mass(16 amu) Charge(-1 e) 

