

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(1) TOF(1.48467 usec) Mass(10 amu) Charge(-1 e) 

Ion(2) TOF(1.49426 usec) Mass(11 amu) Charge(-1 e) 

Ion(3) TOF(1.6098 usec) Mass(12 amu) Charge(-1 e) 

Ion(4) TOF(1.63674 usec) Mass(13 amu) Charge(-1 e) 

Ion(5) TOF(1.67051 usec) Mass(14 amu) Charge(-1 e) 

Ion(6) TOF(1.74986 usec) Mass(15 amu) Charge(-1 e) 

Ion(7) TOF(1.79683 usec) Mass(16 amu) Charge(-1 e) 

Ion(8) TOF(1.89952 usec) Mass(17 amu) Charge(-1 e) 

Ion(9) TOF(1.95092 usec) Mass(18 amu) Charge(-1 e) 

Ion(10) TOF(1.9356 usec) Mass(19 amu) Charge(-1 e) 

Ion(11) TOF(2.02132 usec) Mass(20 amu) Charge(-1 e) 

Ion(12) TOF(2.0877 usec) Mass(21 amu) Charge(-1 e) 

Ion(13) TOF(2.09701 usec) Mass(22 amu) Charge(-1 e) 

Ion(14) TOF(2.1161 usec) Mass(23 amu) Charge(-1 e) 

Ion(15) TOF(2.23728 usec) Mass(24 amu) Charge(-1 e) 

Ion(16) TOF(2.22298 usec) Mass(25 amu) Charge(-1 e) 

Ion(17) TOF(2.24918 usec) Mass(26 amu) Charge(-1 e) 

Ion(18) TOF(2.35188 usec) Mass(27 amu) Charge(-1 e) 

Ion(19) TOF(2.39037 usec) Mass(28 amu) Charge(-1 e) 

Ion(20) TOF(2.43475 usec) Mass(29 amu) Charge(-1 e) 

Ion(21) TOF(2.41364 usec) Mass(30 amu) Charge(-1 e) 

Ion(22) TOF(2.44891 usec) Mass(31 amu) Charge(-1 e) 

Ion(23) TOF(2.5753 usec) Mass(32 amu) Charge(-1 e) 

Ion(24) TOF(2.52898 usec) Mass(33 amu) Charge(-1 e) 

Ion(25) TOF(2.5979 usec) Mass(34 amu) Charge(-1 e) 

Ion(26) TOF(2.62031 usec) Mass(35 amu) Charge(-1 e) 

Ion(27) TOF(2.64864 usec) Mass(36 amu) Charge(-1 e) 

Ion(28) TOF(2.71714 usec) Mass(37 amu) Charge(-1 e) 

Ion(29) TOF(2.68843 usec) Mass(38 amu) Charge(-1 e) 

Ion(30) TOF(2.83122 usec) Mass(39 amu) Charge(-1 e) 

Ion(31) TOF(2.82161 usec) Mass(40 amu) Charge(-1 e) 

Ion(32) TOF(2.84122 usec) Mass(41 amu) Charge(-1 e) 

Ion(33) TOF(2.83214 usec) Mass(42 amu) Charge(-1 e) 

Ion(34) TOF(2.87573 usec) Mass(43 amu) Charge(-1 e) 

Ion(35) TOF(2.92124 usec) Mass(44 amu) Charge(-1 e) 

Ion(36) TOF(2.97619 usec) Mass(45 amu) Charge(-1 e) 

Ion(37) TOF(2.98162 usec) Mass(46 amu) Charge(-1 e) 

Ion(38) TOF(3.0004 usec) Mass(47 amu) Charge(-1 e) 

Ion(39) TOF(3.19632 usec) Mass(48 amu) Charge(-1 e) 

