

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(81) TOF(5.35439 usec) Mass(49 amu) Charge(-1 e) 

Ion(82) TOF(5.85513 usec) Mass(50 amu) Charge(-1 e) 

Ion(83) TOF(2.26135 usec) Mass(10 amu) Charge(-1 e) 

Ion(84) TOF(3.12876 usec) Mass(11 amu) Charge(-1 e) 

Ion(85) TOF(3.0948 usec) Mass(12 amu) Charge(-1 e) 

Ion(86) TOF(3.09442 usec) Mass(13 amu) Charge(-1 e) 

Ion(87) TOF(2.75037 usec) Mass(14 amu) Charge(-1 e) 

Ion(88) TOF(3.50829 usec) Mass(15 amu) Charge(-1 e) 

Ion(89) TOF(2.82692 usec) Mass(16 amu) Charge(-1 e) 

Ion(90) TOF(3.18102 usec) Mass(17 amu) Charge(-1 e) 

Ion(91) TOF(2.76107 usec) Mass(18 amu) Charge(-1 e) 

Ion(92) TOF(4.23992 usec) Mass(19 amu) Charge(-1 e) 

Ion(93) TOF(4.65423 usec) Mass(20 amu) Charge(-1 e) 

Ion(94) TOF(4.14525 usec) Mass(21 amu) Charge(-1 e) 

Ion(95) TOF(4.67987 usec) Mass(22 amu) Charge(-1 e) 

Ion(96) TOF(3.88542 usec) Mass(23 amu) Charge(-1 e) 

Ion(97) TOF(4.86976 usec) Mass(24 amu) Charge(-1 e) 

Ion(98) TOF(4.02295 usec) Mass(25 amu) Charge(-1 e) 

Ion(99) TOF(6.71449 usec) Mass(26 amu) Charge(-1 e) 

Ion(100) TOF(4.70738 usec) Mass(27 amu) Charge(-1 e) 

Ion(101) TOF(4.43542 usec) Mass(28 amu) Charge(-1 e) 

Ion(102) TOF(4.47295 usec) Mass(29 amu) Charge(-1 e) 

Ion(103) TOF(4.07196 usec) Mass(30 amu) Charge(-1 e) 

Ion(104) TOF(5.66255 usec) Mass(31 amu) Charge(-1 e) 

Ion(105) TOF(5.01399 usec) Mass(32 amu) Charge(-1 e) 

Ion(106) TOF(4.59428 usec) Mass(33 amu) Charge(-1 e) 

Ion(107) TOF(4.46392 usec) Mass(34 amu) Charge(-1 e) 

Ion(108) TOF(4.74798 usec) Mass(35 amu) Charge(-1 e) 

Ion(109) TOF(4.53935 usec) Mass(36 amu) Charge(-1 e) 

Ion(110) TOF(4.48043 usec) Mass(37 amu) Charge(-1 e) 

Ion(111) TOF(4.68666 usec) Mass(38 amu) Charge(-1 e) 

Ion(112) TOF(5.77245 usec) Mass(39 amu) Charge(-1 e) 

Ion(113) TOF(4.90152 usec) Mass(40 amu) Charge(-1 e) 

Ion(114) TOF(5.26549 usec) Mass(41 amu) Charge(-1 e) 

Ion(115) TOF(4.69924 usec) Mass(42 amu) Charge(-1 e) 

Ion(116) TOF(4.93621 usec) Mass(43 amu) Charge(-1 e) 

Ion(117) TOF(4.68182 usec) Mass(44 amu) Charge(-1 e) 

Ion(118) TOF(5.38956 usec) Mass(45 amu) Charge(-1 e) 

Ion(119) TOF(6.23856 usec) Mass(46 amu) Charge(-1 e) 

Ion(120) TOF(9.41736 usec) Mass(47 amu) Charge(-1 e) 

Ion(121) TOF(5.71444 usec) Mass(48 amu) Charge(-1 e) 

Ion(122) TOF(6.3604 usec) Mass(49 amu) Charge(-1 e) 

Ion(123) TOF(5.46751 usec) Mass(50 amu) Charge(-1 e) 

Ion(124) TOF(2.33605 usec) Mass(10 amu) Charge(-1 e) 

Ion(125) TOF(2.5791 usec) Mass(11 amu) Charge(-1 e) 

Ion(126) TOF(2.34291 usec) Mass(12 amu) Charge(-1 e) 

Ion(127) TOF(2.57162 usec) Mass(13 amu) Charge(-1 e) 

Ion(128) TOF(2.84713 usec) Mass(14 amu) Charge(-1 e) 

Ion(129) TOF(3.00543 usec) Mass(15 amu) Charge(-1 e) 

Ion(130) TOF(2.94207 usec) Mass(16 amu) Charge(-1 e) 

Ion(131) TOF(3.97505 usec) Mass(17 amu) Charge(-1 e) 

Ion(132) TOF(3.32354 usec) Mass(18 amu) Charge(-1 e) 

Ion(133) TOF(3.85453 usec) Mass(19 amu) Charge(-1 e) 

Ion(134) TOF(3.33113 usec) Mass(20 amu) Charge(-1 e) 

Ion(135) TOF(3.55543 usec) Mass(21 amu) Charge(-1 e) 

Ion(136) TOF(3.5541 usec) Mass(22 amu) Charge(-1 e) 

Ion(137) TOF(3.54944 usec) Mass(23 amu) Charge(-1 e) 

Ion(138) TOF(3.2309 usec) Mass(24 amu) Charge(-1 e) 

Ion(139) TOF(3.47959 usec) Mass(25 amu) Charge(-1 e) 

Ion(140) TOF(3.85672 usec) Mass(26 amu) Charge(-1 e) 

Ion(141) TOF(4.62871 usec) Mass(27 amu) Charge(-1 e) 

Ion(142) TOF(4.096 usec) Mass(28 amu) Charge(-1 e) 

Ion(143) TOF(5.33626 usec) Mass(29 amu) Charge(-1 e) 

Ion(144) TOF(4.45337 usec) Mass(30 amu) Charge(-1 e) 

Ion(145) TOF(4.61753 usec) Mass(31 amu) Charge(-1 e) 

Ion(146) TOF(4.17146 usec) Mass(32 amu) Charge(-1 e) 

Ion(147) TOF(6.34865 usec) Mass(33 amu) Charge(-1 e) 

Ion(148) TOF(5.74596 usec) Mass(34 amu) Charge(-1 e) 

Ion(149) TOF(4.60905 usec) Mass(35 amu) Charge(-1 e) 

Ion(150) TOF(7.75439 usec) Mass(36 amu) Charge(-1 e) 

Ion(151) TOF(5.4213 usec) Mass(37 amu) Charge(-1 e) 

Ion(152) TOF(4.79187 usec) Mass(38 amu) Charge(-1 e) 

Ion(153) TOF(4.73033 usec) Mass(39 amu) Charge(-1 e) 

Ion(154) TOF(5.09102 usec) Mass(40 amu) Charge(-1 e) 

Ion(155) TOF(4.89399 usec) Mass(41 amu) Charge(-1 e) 

Ion(156) TOF(4.68149 usec) Mass(42 amu) Charge(-1 e) 

Ion(157) TOF(9.27483 usec) Mass(43 amu) Charge(-1 e) 

Ion(158) TOF(5.75202 usec) Mass(44 amu) Charge(-1 e) 

Ion(159) TOF(5.40925 usec) Mass(45 amu) Charge(-1 e) 

Ion(160) TOF(6.99306 usec) Mass(46 amu) Charge(-1 e) 

Ion(161) TOF(4.61195 usec) Mass(47 amu) Charge(-1 e) 

Ion(162) TOF(5.51729 usec) Mass(48 amu) Charge(-1 e) 

Ion(163) TOF(4.7252 usec) Mass(49 amu) Charge(-1 e) 

Ion(164) TOF(5.48675 usec) Mass(50 amu) Charge(-1 e) 

Ion(165) TOF(2.5496 usec) Mass(10 amu) Charge(-1 e) 

Ion(166) TOF(2.10765 usec) Mass(11 amu) Charge(-1 e) 

Ion(167) TOF(2.62812 usec) Mass(12 amu) Charge(-1 e) 

Ion(168) TOF(2.52821 usec) Mass(13 amu) Charge(-1 e) 

Ion(169) TOF(2.65898 usec) Mass(14 amu) Charge(-1 e) 

Ion(170) TOF(3.42287 usec) Mass(15 amu) Charge(-1 e) 

Ion(171) TOF(2.71667 usec) Mass(16 amu) Charge(-1 e) 

Ion(172) TOF(3.02273 usec) Mass(17 amu) Charge(-1 e) 

Ion(173) TOF(3.68749 usec) Mass(18 amu) Charge(-1 e) 

Ion(174) TOF(3.0534 usec) Mass(19 amu) Charge(-1 e) 

Ion(175) TOF(2.87129 usec) Mass(20 amu) Charge(-1 e) 

Ion(176) TOF(3.46485 usec) Mass(21 amu) Charge(-1 e) 

Ion(177) TOF(3.29712 usec) Mass(22 amu) Charge(-1 e) 

Ion(178) TOF(4.11584 usec) Mass(23 amu) Charge(-1 e) 

Ion(179) TOF(3.99511 usec) Mass(24 amu) Charge(-1 e) 

Ion(180) TOF(3.93871 usec) Mass(25 amu) Charge(-1 e) 

Ion(181) TOF(4.13629 usec) Mass(26 amu) Charge(-1 e) 

Ion(182) TOF(3.90358 usec) Mass(27 amu) Charge(-1 e) 

Ion(183) TOF(4.29002 usec) Mass(28 amu) Charge(-1 e) 

Ion(184) TOF(4.19698 usec) Mass(29 amu) Charge(-1 e) 

Ion(185) TOF(4.13081 usec) Mass(30 amu) Charge(-1 e) 

Ion(186) TOF(6.17069 usec) Mass(31 amu) Charge(-1 e) 

Ion(187) TOF(3.9538 usec) Mass(32 amu) Charge(-1 e) 

Ion(188) TOF(6.36344 usec) Mass(33 amu) Charge(-1 e) 

Ion(189) TOF(8.39384 usec) Mass(34 amu) Charge(-1 e) 

Ion(190) TOF(5.57805 usec) Mass(35 amu) Charge(-1 e) 

Ion(191) TOF(6.39231 usec) Mass(36 amu) Charge(-1 e) 

Ion(192) TOF(5.07106 usec) Mass(37 amu) Charge(-1 e) 

Ion(193) TOF(4.86414 usec) Mass(38 amu) Charge(-1 e) 

Ion(194) TOF(7.82174 usec) Mass(39 amu) Charge(-1 e) 

Ion(195) TOF(11.6617 usec) Mass(40 amu) Charge(-1 e) 

Ion(196) TOF(5.19118 usec) Mass(41 amu) Charge(-1 e) 

Ion(197) TOF(7.04271 usec) Mass(42 amu) Charge(-1 e) 

Ion(198) TOF(5.04223 usec) Mass(43 amu) Charge(-1 e) 

Ion(199) TOF(10.2952 usec) Mass(44 amu) Charge(-1 e) 

Ion(200) TOF(5.27832 usec) Mass(45 amu) Charge(-1 e) 

Ion(201) TOF(5.57614 usec) Mass(46 amu) Charge(-1 e) 

Ion(202) TOF(4.72607 usec) Mass(47 amu) Charge(-1 e) 

Ion(203) TOF(5.04681 usec) Mass(48 amu) Charge(-1 e) 

Ion(204) TOF(5.82741 usec) Mass(49 amu) Charge(-1 e) 

Ion(205) TOF(4.91153 usec) Mass(50 amu) Charge(-1 e) 

Ion(206) TOF(2.34711 usec) Mass(10 amu) Charge(-1 e) 

Ion(207) TOF(2.46978 usec) Mass(11 amu) Charge(-1 e) 

Ion(208) TOF(2.50084 usec) Mass(12 amu) Charge(-1 e) 

Ion(209) TOF(2.52899 usec) Mass(13 amu) Charge(-1 e) 

Ion(210) TOF(2.4907 usec) Mass(14 amu) Charge(-1 e) 

Ion(211) TOF(2.85307 usec) Mass(15 amu) Charge(-1 e) 

Ion(212) TOF(2.81918 usec) Mass(16 amu) Charge(-1 e) 

Ion(213) TOF(2.96572 usec) Mass(17 amu) Charge(-1 e) 

Ion(214) TOF(3.51691 usec) Mass(18 amu) Charge(-1 e) 

Ion(215) TOF(2.95616 usec) Mass(19 amu) Charge(-1 e) 

Ion(216) TOF(5.8158 usec) Mass(20 amu) Charge(-1 e) 

Ion(217) TOF(3.23148 usec) Mass(21 amu) Charge(-1 e) 

Ion(218) TOF(3.45231 usec) Mass(22 amu) Charge(-1 e) 

Ion(219) TOF(3.48568 usec) Mass(23 amu) Charge(-1 e) 

Ion(220) TOF(4.23378 usec) Mass(24 amu) Charge(-1 e) 

Ion(221) TOF(4.79682 usec) Mass(25 amu) Charge(-1 e) 

Ion(222) TOF(3.50949 usec) Mass(26 amu) Charge(-1 e) 

Ion(223) TOF(4.03544 usec) Mass(27 amu) Charge(-1 e) 

Ion(224) TOF(4.18016 usec) Mass(28 amu) Charge(-1 e) 

Ion(225) TOF(4.1612 usec) Mass(29 amu) Charge(-1 e) 

Ion(226) TOF(5.72367 usec) Mass(30 amu) Charge(-1 e) 

Ion(227) TOF(3.9628 usec) Mass(31 amu) Charge(-1 e) 

Ion(228) TOF(3.99901 usec) Mass(32 amu) Charge(-1 e) 

Ion(229) TOF(4.51138 usec) Mass(33 amu) Charge(-1 e) 

Ion(230) TOF(5.50536 usec) Mass(34 amu) Charge(-1 e) 

Ion(231) TOF(4.87911 usec) Mass(35 amu) Charge(-1 e) 

Ion(232) TOF(4.54369 usec) Mass(36 amu) Charge(-1 e) 

Ion(233) TOF(5.27109 usec) Mass(37 amu) Charge(-1 e) 

Ion(234) TOF(5.11769 usec) Mass(38 amu) Charge(-1 e) 

Ion(235) TOF(4.90304 usec) Mass(39 amu) Charge(-1 e) 

Ion(236) TOF(4.8982 usec) Mass(40 amu) Charge(-1 e) 

Ion(237) TOF(5.14526 usec) Mass(41 amu) Charge(-1 e) 

Ion(238) TOF(12.1809 usec) Mass(42 amu) Charge(-1 e) 

Ion(239) TOF(5.32284 usec) Mass(43 amu) Charge(-1 e) 

Ion(240) TOF(9.80124 usec) Mass(44 amu) Charge(-1 e) 

Ion(241) TOF(5.45697 usec) Mass(45 amu) Charge(-1 e) 

Ion(242) TOF(6.96507 usec) Mass(46 amu) Charge(-1 e) 

Ion(243) TOF(5.44378 usec) Mass(47 amu) Charge(-1 e) 

Ion(244) TOF(17.8432 usec) Mass(48 amu) Charge(-1 e) 

Ion(245) TOF(5.65475 usec) Mass(49 amu) Charge(-1 e) 

Ion(246) TOF(7.92944 usec) Mass(50 amu) Charge(-1 e) 

Ion(247) TOF(3.15644 usec) Mass(10 amu) Charge(-1 e) 

Ion(248) TOF(2.73284 usec) Mass(11 amu) Charge(-1 e) 

Ion(249) TOF(2.62556 usec) Mass(12 amu) Charge(-1 e) 

Ion(250) TOF(2.32155 usec) Mass(13 amu) Charge(-1 e) 

Ion(251) TOF(3.62513 usec) Mass(14 amu) Charge(-1 e) 

Ion(252) TOF(2.75541 usec) Mass(15 amu) Charge(-1 e) 

Ion(253) TOF(2.97083 usec) Mass(16 amu) Charge(-1 e) 

Ion(254) TOF(3.21326 usec) Mass(17 amu) Charge(-1 e) 

Ion(255) TOF(4.14473 usec) Mass(18 amu) Charge(-1 e) 

Ion(256) TOF(3.32852 usec) Mass(19 amu) Charge(-1 e) 

Ion(257) TOF(3.40844 usec) Mass(20 amu) Charge(-1 e) 

Ion(258) TOF(3.29579 usec) Mass(21 amu) Charge(-1 e) 

Ion(259) TOF(3.62185 usec) Mass(22 amu) Charge(-1 e) 

Ion(260) TOF(3.32579 usec) Mass(23 amu) Charge(-1 e) 

Ion(261) TOF(4.41008 usec) Mass(24 amu) Charge(-1 e) 

Ion(262) TOF(5.74048 usec) Mass(25 amu) Charge(-1 e) 

Ion(263) TOF(4.78876 usec) Mass(26 amu) Charge(-1 e) 

Ion(264) TOF(3.73474 usec) Mass(27 amu) Charge(-1 e) 

Ion(265) TOF(3.84879 usec) Mass(28 amu) Charge(-1 e) 

Ion(266) TOF(4.0081 usec) Mass(29 amu) Charge(-1 e) 

Ion(267) TOF(3.99485 usec) Mass(30 amu) Charge(-1 e) 

Ion(268) TOF(3.78833 usec) Mass(31 amu) Charge(-1 e) 

Ion(269) TOF(4.39344 usec) Mass(32 amu) Charge(-1 e) 

Ion(270) TOF(4.41718 usec) Mass(33 amu) Charge(-1 e) 

Ion(271) TOF(5.10185 usec) Mass(34 amu) Charge(-1 e) 

Ion(272) TOF(4.37785 usec) Mass(35 amu) Charge(-1 e) 

Ion(273) TOF(10.8114 usec) Mass(36 amu) Charge(-1 e) 

Ion(274) TOF(4.93688 usec) Mass(37 amu) Charge(-1 e) 

Ion(275) TOF(4.79357 usec) Mass(38 amu) Charge(-1 e) 

Ion(276) TOF(9.48639 usec) Mass(39 amu) Charge(-1 e) 

Ion(277) TOF(5.10385 usec) Mass(40 amu) Charge(-1 e) 

Ion(278) TOF(4.92009 usec) Mass(41 amu) Charge(-1 e) 

Ion(279) TOF(7.3158 usec) Mass(42 amu) Charge(-1 e) 

Ion(280) TOF(6.68711 usec) Mass(43 amu) Charge(-1 e) 

Ion(281) TOF(4.85978 usec) Mass(44 amu) Charge(-1 e) 

Ion(282) TOF(5.20511 usec) Mass(45 amu) Charge(-1 e) 

Ion(283) TOF(12.4801 usec) Mass(46 amu) Charge(-1 e) 

Ion(284) TOF(12.2284 usec) Mass(47 amu) Charge(-1 e) 

Ion(285) TOF(15.4295 usec) Mass(48 amu) Charge(-1 e) 

Ion(286) TOF(5.61813 usec) Mass(49 amu) Charge(-1 e) 

Ion(287) TOF(9.03997 usec) Mass(50 amu) Charge(-1 e) 

Ion(288) TOF(2.40808 usec) Mass(10 amu) Charge(-1 e) 

Ion(289) TOF(2.7531 usec) Mass(11 amu) Charge(-1 e) 

Ion(290) TOF(2.76625 usec) Mass(12 amu) Charge(-1 e) 

Ion(291) TOF(3.13677 usec) Mass(13 amu) Charge(-1 e) 

Ion(292) TOF(2.82952 usec) Mass(14 amu) Charge(-1 e) 

Ion(293) TOF(3.57726 usec) Mass(15 amu) Charge(-1 e) 

Ion(294) TOF(2.72778 usec) Mass(16 amu) Charge(-1 e) 

Ion(295) TOF(3.02407 usec) Mass(17 amu) Charge(-1 e) 

Ion(296) TOF(3.14762 usec) Mass(18 amu) Charge(-1 e) 

Ion(297) TOF(3.19449 usec) Mass(19 amu) Charge(-1 e) 

Ion(298) TOF(3.22853 usec) Mass(20 amu) Charge(-1 e) 

Ion(299) TOF(3.18361 usec) Mass(21 amu) Charge(-1 e) 

Ion(300) TOF(3.61048 usec) Mass(22 amu) Charge(-1 e) 

Ion(301) TOF(3.82486 usec) Mass(23 amu) Charge(-1 e) 

Ion(302) TOF(4.15647 usec) Mass(24 amu) Charge(-1 e) 

Ion(303) TOF(3.80207 usec) Mass(25 amu) Charge(-1 e) 

