

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(81) TOF(0.760464 usec) Mass(1 amu) Charge(-1 e) 

Ion(82) TOF(1.16764 usec) Mass(2 amu) Charge(-1 e) 

Ion(83) TOF(1.42772 usec) Mass(3 amu) Charge(-1 e) 

Ion(84) TOF(1.54889 usec) Mass(4 amu) Charge(-1 e) 

Ion(85) TOF(1.77598 usec) Mass(5 amu) Charge(-1 e) 

Ion(86) TOF(0.798695 usec) Mass(1 amu) Charge(-1 e) 

Ion(87) TOF(1.0626 usec) Mass(2 amu) Charge(-1 e) 

Ion(88) TOF(1.49661 usec) Mass(3 amu) Charge(-1 e) 

Ion(89) TOF(1.36442 usec) Mass(4 amu) Charge(-1 e) 

Ion(90) TOF(1.45198 usec) Mass(5 amu) Charge(-1 e) 

Ion(91) TOF(0.87007 usec) Mass(1 amu) Charge(-1 e) 

Ion(92) TOF(1.11397 usec) Mass(2 amu) Charge(-1 e) 

Ion(93) TOF(1.1352 usec) Mass(3 amu) Charge(-1 e) 

Ion(94) TOF(1.49922 usec) Mass(4 amu) Charge(-1 e) 

Ion(95) TOF(1.45118 usec) Mass(5 amu) Charge(-1 e) 

Ion(96) TOF(0.752667 usec) Mass(1 amu) Charge(-1 e) 

Ion(97) TOF(1.03441 usec) Mass(2 amu) Charge(-1 e) 

Ion(98) TOF(1.12609 usec) Mass(3 amu) Charge(-1 e) 

Ion(99) TOF(1.52264 usec) Mass(4 amu) Charge(-1 e) 

Ion(100) TOF(1.6158 usec) Mass(5 amu) Charge(-1 e) 

Ion(101) TOF(0.770798 usec) Mass(1 amu) Charge(-1 e) 

Ion(102) TOF(1.20094 usec) Mass(2 amu) Charge(-1 e) 

Ion(103) TOF(1.31417 usec) Mass(3 amu) Charge(-1 e) 

Ion(104) TOF(1.56642 usec) Mass(4 amu) Charge(-1 e) 

Ion(105) TOF(1.7201 usec) Mass(5 amu) Charge(-1 e) 

Ion(106) TOF(1.10322 usec) Mass(1 amu) Charge(-1 e) 

Ion(107) TOF(0.971915 usec) Mass(2 amu) Charge(-1 e) 

Ion(108) TOF(1.20608 usec) Mass(3 amu) Charge(-1 e) 

Ion(109) TOF(1.58467 usec) Mass(4 amu) Charge(-1 e) 

Ion(110) TOF(1.78975 usec) Mass(5 amu) Charge(-1 e) 

Ion(111) TOF(0.750741 usec) Mass(1 amu) Charge(-1 e) 

